Site,Control System,Unit,Application Type,Application Instance,Points
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Physical AI,1.01 OAT,OUTPUT
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Physical AI,1.01 OAT,OUTPUT
"02219 ROCKY HILL,CT",Control System,CX-300 1: CVS 02219,Physical AI,1.01 OAT,OUTPUT
"02220 COVENTRY,CT",Control System,CX-300 1: CVS 02220,Physical AI,1.01 OAT,OUTPUT
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Physical AI,1.01 OAT,OUTPUT
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Physical AI,1.02 LITE LVL,OUTPUT
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Physical AI,1.02 LITE LVL,OUTPUT
"02219 ROCKY HILL,CT",Control System,CX-300 1: CVS 02219,Physical AI,1.02 LITE LVL,OUTPUT
"02220 COVENTRY,CT",Control System,CX-300 1: CVS 02220,Physical AI,1.02 LITE LVL,OUTPUT
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Physical AI,1.02 LITE LVL,OUTPUT
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Physical AI,1.03 CO2 SENS,OUTPUT
"02220 COVENTRY,CT",Control System,CX-300 1: CVS 02220,Physical AI,1.03 CO2 SENS,OUTPUT
"00125 NEW PROVIDENCE,NJ",Control System,CX-300 1: CVS 00125,Physical DI,1.04 MGRS OVR,OUTPUT
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Physical DI,1.04 MGRS OVR,OUTPUT
"01743 SURPRISE,AZ",Control System,BX-300 1: CVS 01743,Physical DI,1.04 MGRS OVR,OUTPUT
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Physical DI,1.04 MGRS OVR,OUTPUT
"02219 ROCKY HILL,CT",Control System,CX-300 1: CVS 02219,Physical DI,1.04 MGRS OVR,OUTPUT
"02220 COVENTRY,CT",Control System,CX-300 1: CVS 02220,Physical DI,1.04 MGRS OVR,OUTPUT
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Physical DI,1.04 MGRS OVR,OUTPUT
"00125 NEW PROVIDENCE,NJ",Control System,CX-300 1: CVS 00125,Physical DI,1.05ALL LTS ON,OUTPUT
"01743 SURPRISE,AZ",Control System,BX-300 1: CVS 01743,Physical DI,1.05ALL LTS ON,OUTPUT
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Physical DI,1.05ALL LTS ON,OUTPUT
"02219 ROCKY HILL,CT",Control System,CX-300 1: CVS 02219,Physical DI,1.05ALL LTS ON,OUTPUT
"02220 COVENTRY,CT",Control System,CX-300 1: CVS 02220,Physical DI,1.05ALL LTS ON,OUTPUT
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Physical DI,1.05ALL LTS ON,OUTPUT
"02219 ROCKY HILL,CT",Control System,CX-300 1: CVS 02219,Physical DI,1.09 STORE OCC,OUTPUT
"02220 COVENTRY,CT",Control System,CX-300 1: CVS 02220,Physical DI,1.09 STORE OCC,OUTPUT
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Physical DI,1.09 STORE OCC,OUTPUT
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Physical DO,1.1 50%EMPLOY,INPUT
"01264 JAMAICA PLAIN,MA",Control System,CX-300 1: CVS 01264,Physical DO,1.1 50%EMPLOY,INPUT
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,Physical DO,1.1 50%EMPLOY,INPUT
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Physical DO,1.1 50%EMPLOY,INPUT
"02219 ROCKY HILL,CT",Control System,CX-300 1: CVS 02219,Physical DO,1.1 50%EMPLOY,INPUT
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Physical DO,1.1 50%EMPLOY,INPUT
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,Physical DO,1.1 50%EMPLOY,INPUT
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,Physical DO,1.1 50%EMPLOY,INPUT
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Physical DO,1.1 50%EMPLOY,INPUT
"02219 ROCKY HILL,CT",Control System,CX-300 1: CVS 02219,Physical DI,1.10 RX OCC,OUTPUT
"02220 COVENTRY,CT",Control System,CX-300 1: CVS 02220,Physical DI,1.10 RX OCC,OUTPUT
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Physical DI,1.10 RX OCC,OUTPUT
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Physical DO,1.2 49%SALES,INPUT
"01264 JAMAICA PLAIN,MA",Control System,CX-300 1: CVS 01264,Physical DO,1.2 49%SALES,INPUT
